"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",1
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",2
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",3
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",4
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",5
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",6
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",7
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",8
"[1.031851928714079, 1.023021210503032, 1.0258713151253833, 1.0383927944260758, 1.0501630308192131, 1.0529399219980546]",9
